Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,Run,Hit,two_Base,three_Base,Home_Run,Runs_Batted_In,Four_Ball,Strike_Out,On_Base_Percentage,Onbase_Plus_Slug
스톤,키움,0.229,21,88,3,19,0,0,1,12,4,23,0.261,0.526
신민재,LG,0.306,79,286,41,75,7,1,1,29,33,28,0.391,0.746
신범수,SSG,0.19,20,27,1,4,0,0,1,3,5,4,0.37,0.703
심우준,한화,0.209,48,147,19,28,4,1,1,12,6,27,0.254,0.53
심재훈,삼성,0.172,23,34,7,5,0,0,0,1,4,10,0.273,0.445
안상현,SSG,0.274,51,127,16,32,4,1,1,7,8,43,0.317,0.667
안주형,삼성,0.214,6,15,1,3,0,0,0,0,1,4,0.267,0.481
안중열,NC,0.094,18,40,2,3,1,0,0,6,5,9,0.256,0.381
안치홍,한화,0.155,40,126,7,18,3,0,1,11,9,30,0.216,0.423
안현민,KT,0.356,60,260,42,77,9,3,16,53,39,36,0.465,1.113
양도근,삼성,0.284,73,127,17,29,3,0,0,6,17,22,0.388,0.702
양석환,두산,0.257,58,239,27,54,13,0,6,23,21,62,0.335,0.74
양의지,두산,0.304,85,341,35,90,15,0,13,56,38,40,0.387,0.873
어준서,키움,0.242,67,192,25,43,5,0,3,13,11,42,0.288,0.608
에레디아,SSG,0.277,43,192,19,48,4,0,4,19,17,24,0.344,0.714
여동건,두산,0.067,11,15,4,1,0,0,0,1,0,2,0.067,0.134
