Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,At_Bat,Run,Hit,two_Base,three_Base,Home_Run,Total_Base,Runs_Batted_In,Sacrifice_Bunts,Sacrifice_Fly,Four_Ball,IBB,Hit_by_Pitch,Strike_Out,Double_out,Slugging,On_Base_Percentage,Onbase_Plus_Slug,Multi_Hit,Scoring_Position_AVG,Pinch_Hit_AVG
조수행,두산,0.265,130,382,328,60,87,5,2,0,96,30,14,4,33,1,3,53,2,0.293,0.334,0.627,22,0.233,0.25
조용호,KT,0.248,60,165,149,17,37,5,0,0,42,13,3,0,13,0,0,25,5,0.282,0.309,0.591,8,0.286,0.25
조형우,SSG,0.242,19,38,33,4,8,0,0,0,8,4,0,0,1,0,4,6,0,0.242,0.342,0.584,2,0.364,0.0
주성원,키움,0.2,27,62,55,7,11,1,0,1,15,5,1,0,6,0,0,18,2,0.273,0.279,0.552,1,0.2,0.125
채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,49,1,8,83,12,0.463,0.351,0.814,29,0.27,0.0
천성호,KT,0.295,75,255,234,41,69,8,3,1,86,17,1,1,18,0,1,43,5,0.368,0.346,0.714,18,0.346,0.2
천재환,NC,0.284,89,236,215,31,61,9,1,5,87,33,3,1,13,0,4,52,7,0.405,0.335,0.74,14,0.327,0.273
최경모,SSG,0.171,50,50,35,12,6,0,0,0,6,0,7,0,8,0,0,7,2,0.171,0.326,0.497,0,0.2,0.0
최명경,LG,0.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.0,0.0
최상민,SSG,0.167,43,13,12,9,2,2,0,0,4,1,0,0,0,0,1,5,0,0.333,0.231,0.564,0,0.0,0.0
최승민,LG,0.077,57,16,13,20,1,0,0,0,1,1,1,0,2,0,0,3,0,0.077,0.2,0.277,0,0.0,0.0
최원영,LG,0.27,57,41,37,18,10,2,0,1,15,5,0,0,1,0,3,7,0,0.405,0.341,0.746,0,0.214,0.333
최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,50,0,8,66,6,0.42,0.371,0.791,37,0.301,0.286
최인호,한화,0.286,82,244,210,37,60,13,2,2,83,22,4,2,25,0,3,31,3,0.395,0.367,0.762,11,0.325,0.294
