Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
이채호,KT,9.45,9,0,0,0,0,,6.667,13,2,3,1,5,7,7,2.4,0,0,0,0,37,151,0.406,0,1,0,1,0,1,0
이충호,한화,3.86,3,0,0,0,0,,2.333,4,0,3,0,3,1,1,3.0,0,0,0,0,13,45,0.4,1,0,0,0,0,0,0
이태양,한화,11.57,10,0,2,0,0,0.0,9.333,17,4,2,0,2,13,12,2.04,0,0,0,0,48,180,0.37,3,0,0,0,0,0,0
이형범,KIA,7.8,16,0,1,0,2,0.0,15.0,26,2,7,5,9,17,13,2.2,0,0,0,0,83,296,0.371,4,0,0,1,1,0,0
이호성,삼성,7.4,16,2,4,0,0,0.333,45.0,66,9,26,2,28,39,37,2.04,0,0,0,0,224,952,0.351,13,1,3,5,0,3,0
임기영,KIA,6.31,37,6,2,0,2,0.75,45.667,61,8,17,1,36,35,32,1.71,0,0,0,0,218,866,0.313,12,0,2,3,1,1,1
임상현,NC,6.47,12,1,5,0,0,0.167,40.333,46,5,23,2,21,35,29,1.71,0,0,1,0,181,667,0.303,13,0,0,4,0,1,0
임정호,NC,4.42,65,1,6,2,9,0.143,55.0,54,3,25,3,46,32,27,1.44,0,0,0,2,243,981,0.263,8,1,7,3,3,0,0
임준섭,롯데,7.94,24,0,0,0,2,,11.333,12,0,11,3,3,11,10,2.03,0,0,0,0,56,233,0.286,2,1,0,0,0,0,0
임준형,LG,6.59,18,0,0,0,0,,13.667,16,2,4,3,13,10,10,1.46,0,0,0,0,62,240,0.302,4,0,1,1,0,0,0
임찬규,LG,3.83,25,10,6,0,1,0.625,134.0,144,12,42,5,136,58,57,1.39,0,0,11,0,577,2225,0.276,29,1,3,5,1,1,0
임창민,삼성,3.98,60,2,1,1,28,0.667,54.333,60,4,30,2,50,26,24,1.66,0,0,0,3,253,1031,0.279,10,0,2,4,2,5,0
장민재,한화,3.1,26,1,1,0,0,0.5,29.0,46,2,7,1,17,10,10,1.83,0,0,0,0,138,509,0.362,7,0,2,1,0,5,0
장시환,한화,5.13,30,2,2,0,2,0.5,33.333,34,3,22,1,28,27,19,1.68,0,0,0,0,156,640,0.266,6,1,3,2,0,0,0
장재혁,KIA,0.0,1,0,0,0,0,,1.333,2,0,1,0,0,0,0,2.25,0,0,0,0,7,27,0.333,0,0,0,0,0,0,0
장지수,한화,10.93,13,0,0,0,0,,14.0,23,0,10,2,11,18,17,2.36,0,0,0,0,75,284,0.365,5,2,0,0,2,2,0
장지훈,SSG,6.75,18,0,0,0,0,,21.333,29,3,10,1,10,16,16,1.83,0,0,0,0,101,372,0.33,6,0,1,1,0,0,0
장필준,삼성,135.0,1,0,0,0,0,,0.333,5,0,0,0,0,5,5,15.0,0,0,0,0,6,27,0.833,1,0,0,0,0,1,0
장현식,KIA,3.94,75,5,4,0,16,0.556,75.333,75,8,34,2,75,41,33,1.45,0,0,0,1,331,1289,0.26,16,0,4,3,2,4,0
전미르,롯데,5.88,36,1,5,1,5,0.167,33.667,33,4,21,1,34,28,22,1.6,0,0,0,5,155,619,0.256,10,0,3,1,2,3,0
전사민,NC,9.51,17,0,0,0,0,,23.667,39,3,17,3,17,25,25,2.37,0,0,0,0,128,479,0.371,6,1,1,2,0,4,2
전상현,KIA,4.09,66,10,5,7,19,0.667,66.0,55,5,20,5,54,32,30,1.14,0,0,0,7,272,1088,0.224,7,2,1,1,1,2,0
전용주,KT,10.8,4,0,0,0,0,,1.667,2,0,3,1,4,3,2,3.0,0,0,0,0,11,50,0.286,0,0,0,0,0,0,0
전준표,키움,6.83,18,2,4,0,0,0.333,27.667,35,4,20,5,18,28,21,1.99,0,0,0,0,144,570,0.294,4,0,0,0,0,4,0
정동윤,SSG,0.0,3,0,0,0,0,,1.667,1,0,1,0,2,0,0,1.2,0,0,0,0,7,32,0.167,0,0,0,0,0,0,0
정우람,한화,,1,0,0,0,0,,0.0,1,0,0,0,0,0,0,,0,0,0,0,1,4,1.0,0,0,0,0,0,0,0
정우영,LG,4.76,27,2,1,0,3,0.667,22.667,31,0,11,6,17,15,12,1.85,0,0,0,2,108,389,0.344,6,0,1,0,0,3,0
정우준,롯데,4.32,8,0,0,0,0,,8.333,10,2,7,0,5,4,4,2.04,0,0,0,0,40,145,0.303,2,0,0,0,0,0,0
정지헌,LG,11.68,17,0,0,0,1,,12.333,19,2,11,3,11,18,16,2.43,0,0,0,0,69,272,0.352,2,0,0,1,0,3,0
정찬헌,키움,7.88,4,0,2,0,0,0.0,16.0,26,3,3,1,5,14,14,1.81,0,0,0,0,74,240,0.371,5,0,0,0,0,0,0
정철원,두산,6.4,36,2,1,6,1,0.667,32.333,39,5,26,5,39,24,23,2.01,0,0,0,1,165,634,0.295,7,2,1,1,0,0,0
정해영,KIA,2.49,53,2,3,31,1,0.4,50.667,47,8,16,1,50,14,14,1.24,0,0,0,3,210,840,0.244,5,1,0,0,2,0,0
정현수,롯데,4.56,18,1,1,0,1,0.5,23.667,20,0,12,2,25,12,12,1.35,0,0,0,1,104,425,0.235,7,0,4,1,0,0,0
조동욱,한화,6.37,21,1,2,0,0,0.333,41.0,57,5,14,6,32,34,29,1.73,0,0,1,0,198,754,0.331,10,0,2,4,0,1,1
조병현,SSG,3.58,76,4,6,12,12,0.4,73.0,52,8,31,2,96,34,29,1.14,0,0,0,6,302,1294,0.197,10,0,2,3,3,5,0
조상우,키움,3.18,44,0,1,6,9,0.0,39.667,40,2,20,0,36,17,14,1.51,0,0,0,2,171,652,0.272,6,0,2,2,1,1,0
조영건,키움,8.01,25,2,1,0,1,0.667,39.333,51,7,24,1,31,39,35,1.91,0,0,0,1,197,734,0.304,10,1,1,3,0,3,0
조이현,KT,6.3,16,1,2,0,0,0.333,40.0,53,9,10,1,19,29,28,1.58,0,0,0,0,184,636,0.314,11,1,2,2,1,1,0
주권,KT,6.67,48,1,1,0,0,0.5,58.0,78,7,11,3,31,48,43,1.53,0,0,0,2,254,919,0.342,14,2,6,6,0,0,0
주승우,키움,4.35,55,4,6,14,5,0.4,51.667,50,4,18,5,43,25,25,1.32,0,0,0,4,225,781,0.255,14,1,4,2,5,1,0
주현상,한화,2.65,65,8,4,23,2,0.667,71.333,52,9,8,1,64,22,21,0.84,0,0,0,6,267,1074,0.206,8,2,4,1,0,1,0
진승현,롯데,8.53,7,0,1,0,0,0.0,6.333,7,0,5,0,5,6,6,1.89,0,0,0,0,32,109,0.259,3,0,0,0,0,0,0
